,0,1,2
0,Component,Unit,Borrowed analytical data %)
1,Energy,kcal and KJ,
2,Water,g,59.7
3,"Protein, total",g,53.9
4,"Fat, total",g,53.9
5,Carbohydrate,g,
6,"Fiber, total dietary",g,56.6
7,"Sugar, total",g,70.6
8,"Starch,total",,64.6
9,Saturated fatty acids,g,52.2
10,Monounsaturated fatty acids,,52.2
11,Polyunsaturated fatty acids,,52.2
12,Cholesterol,g,49.8
13,Sodium,mg,49.1
14,Potassium,mg,50.1
15,Calcium,mg,47.9
16,Magnesium,mg,51.7
17,Phosphorus,mg,49.1
18,Iron,mg,48.8
19,Zinc,mg,51.5
20,Copper,mg,51.0
21,Manganese,mg,55.2
22,Selenium,mcg,54.2
23,"Vitamin A,RAEa",mcg,58.5
24,Retinol,mcg,65.0
25,Beta-carotene,mcg,49.4
26,Vitamin D,mcg,60.4
27,Vitamin K,mcg,55.9
28,Vitamin E,mg,55.1
29,Vitamin C,mg,55.8
30,Thiamine,mg,55.1
31,Riboflavin,mg,55.6
32,Niacin,mg,55.1
33,Pantothenic acid,mg,56.3
34,Vitamin B6,mg,57.1
35,Folates,mcg,78.6
36,Vitamin B12,mcg,52.7
